,date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,sunshine_duration
138,2019-01-17 23:00:00+00:00,24.907,88.941,28.834373,0.0,0.0,2.0,60.300003,10.587917,252.18102,0.0
139,2019-01-18 02:00:00+00:00,28.907,74.0045,32.71925,0.0,0.0,2.0,54.6,14.84318,255.96373,10123.109
140,2019-01-18 05:00:00+00:00,27.707,81.04193,31.3191,3.2,3.2,55.0,100.0,18.448023,275.59924,10800.0
141,2019-01-18 08:00:00+00:00,27.757,83.2617,33.05863,1.3000001,1.3000001,51.0,44.100002,8.311245,265.03033,0.0
142,2019-01-18 11:00:00+00:00,26.457,86.43092,30.773514,1.2,1.2,51.0,35.4,12.261158,273.3664,0.0
143,2019-01-18 14:00:00+00:00,25.757,87.94184,29.87127,0.2,0.2,51.0,36.9,11.966954,254.29129,0.0
144,2019-01-18 17:00:00+00:00,25.307001,89.78092,29.50016,0.0,0.0,2.0,71.1,11.013882,281.3099,0.0
145,2019-01-18 20:00:00+00:00,24.807001,89.74464,28.73217,0.0,0.0,1.0,37.800003,10.805999,271.90912,0.0
146,2019-01-18 23:00:00+00:00,23.907,92.728645,27.523727,0.1,0.1,51.0,34.5,11.525623,255.52966,0.0
147,2019-01-19 02:00:00+00:00,27.407,80.51804,31.968609,0.1,0.1,51.0,100.0,9.511088,299.4758,7830.7744
148,2019-01-19 05:00:00+00:00,28.607,76.67289,33.194557,0.6,0.6,51.0,59.700005,10.805998,299.98157,9499.253
149,2019-01-19 08:00:00+00:00,29.557001,66.08999,33.090176,0.3,0.3,51.0,67.2,11.966953,291.16132,10800.0
150,2019-01-19 11:00:00+00:00,27.307001,83.962166,33.094532,0.3,0.3,51.0,50.100002,3.671294,258.6901,8263.974
151,2019-01-19 14:00:00+00:00,25.307001,94.20392,30.864552,0.0,0.0,1.0,36.9,5.0528407,274.08554,0.0
152,2019-01-19 17:00:00+00:00,24.907,95.03971,30.404202,0.0,0.0,1.0,32.7,4.39436,235.0079,0.0
153,2019-01-19 20:00:00+00:00,24.407,94.73561,29.493507,0.0,0.0,1.0,49.8,4.896529,252.89719,0.0
154,2019-01-19 23:00:00+00:00,23.957,95.87042,28.923164,0.1,0.1,51.0,66.0,4.6938257,302.47116,0.0
155,2019-01-20 02:00:00+00:00,26.357,88.521484,31.949387,3.6999998,3.6999998,55.0,60.0,4.802999,347.00537,1744.5093
156,2019-01-20 05:00:00+00:00,30.007,74.18557,35.68912,0.70000005,0.70000005,51.0,100.0,7.42159,309.09384,10800.0
157,2019-01-20 08:00:00+00:00,30.007,63.816124,33.870514,1.1,1.1,51.0,48.6,11.681987,326.3099,10800.0
158,2019-01-20 11:00:00+00:00,28.207,76.843216,33.734344,0.0,0.0,1.0,47.700005,2.8799999,270.0,10488.2295
159,2019-01-20 14:00:00+00:00,26.307001,85.126175,31.533459,0.3,0.3,51.0,83.100006,4.3349743,311.63345,0.0
160,2019-01-20 17:00:00+00:00,25.257,92.52076,31.000294,0.1,0.1,51.0,48.6,2.2768397,198.43504,0.0
161,2019-01-20 20:00:00+00:00,24.357,93.31463,29.441898,0.0,0.0,1.0,34.2,3.671294,191.30989,0.0
162,2019-01-20 23:00:00+00:00,24.257,92.1872,28.491264,0.0,0.0,3.0,85.8,8.287822,267.5105,0.0
163,2019-01-21 02:00:00+00:00,28.307001,78.49084,33.04869,0.2,0.2,51.0,59.700005,10.182337,261.87,10056.327
164,2019-01-21 05:00:00+00:00,27.457,84.230156,32.180107,4.7,4.7,61.0,90.3,11.841756,289.53674,10800.0
165,2019-01-21 08:00:00+00:00,26.957,82.42346,31.401962,3.3,3.3,55.0,70.8,10.105681,265.91446,0.0
166,2019-01-21 11:00:00+00:00,26.107,90.6494,31.947254,0.8000001,0.8000001,51.0,33.600002,3.7585104,286.6993,0.0
167,2019-01-21 14:00:00+00:00,24.657,93.893326,29.567188,0.2,0.2,51.0,88.8,6.519877,263.6599,0.0
168,2019-01-21 17:00:00+00:00,24.507,92.760086,29.121498,0.1,0.1,51.0,84.90001,7.10031,239.53453,0.0
169,2019-01-21 20:00:00+00:00,24.507,92.480286,29.426659,0.1,0.1,51.0,100.0,4.802999,282.99463,0.0
170,2019-01-21 23:00:00+00:00,23.807001,94.14043,28.078228,0.9,0.9,51.0,100.0,7.6367526,261.87,0.0
171,2019-01-22 02:00:00+00:00,25.707,91.168396,30.907532,1.2,1.2,51.0,98.100006,6.849467,266.98727,0.0
172,2019-01-22 05:00:00+00:00,24.857,92.22085,29.32882,8.0,8.0,63.0,100.0,9.107359,288.43503,0.0
